id,title,image,category,author,authorPic,published_date,reading_time,content,tags/0,tags/1
3,Making wearable medical devices more patient-friendly with Professor Esther Rodriguez-Villegas from Acurable,https://techcrunch.com/wp-content/uploads/2022/05/found-2022-featured.jpg?w=430&h=230&crop=1,Health,Darrell Etherington,author1.jpg,2023-10-04,8 minutes,"Welcome back to Found, where we get the stories behind the startups. This week, our old friend Darrell Etherington joins Becca Szkutak to talk with Professor Esther Rodriguez-Villegas from Acurable...",Biotech,Health
4,"Rainforest raises $8.5M to help software companies embed financial services, payments",https://techcrunch.com/wp-content/uploads/2015/02/shutterstock_128451140.jpg?w=430&h=230&crop=1,Fintech,Mary Ann Azevedo,author1.jpg,2023-10-01,5 minutes,"In November 2019, Andreessen Horowitz General Partner Angela Strange famously declared that, “Every company will be a fintech company.” Specifically, Strange projected that — in the not-too-d...",Fintech,Writing
5,Pow.bio says biomanufacturing is broken and its continuous fermentation tech will fix it,https://techcrunch.com/wp-content/uploads/2023/10/Pow-Lab2.jpg?w=430&h=230&crop=1,Startups,Christine Hall,author1.jpg,2023-10-01,5 minutes,Pow.bio intends to bring down the costs associated with biomanufacturing by reimagining of fermentation facility operations.,Startups,Writing
6,"Recapitalization, $60M Series D support growth of e-commerce financier Clearco",https://techcrunch.com/wp-content/uploads/2022/07/GettyImages-1314165902.jpg?w=430&h=230&crop=1,Fintech,Christine Hall,author1.jpg,2023-10-01,5 minutes,Today is news marks a turnaround for a company that is had its share of ups and downs over the past year.,Blogging,Writing
7,Rabbit is building an AI model that understands how software works,https://techcrunch.com/wp-content/uploads/2023/05/GettyImages-1325174870.jpg?w=430&h=230&crop=1,AI,Kyle Wiggers,author1.jpg,2023-10-01,5 minutes,"What if you could interact with any piece of software using natural language? Imagine typing in a prompt and having AI translate the instructions into machine-comprehendable commands, executing tas...",AI,Writing
8,Okta plans to weave AI across its entire identity platform using multiple models,https://techcrunch.com/wp-content/uploads/2023/10/GettyImages-1350618660.jpg?w=430&h=230&crop=1,Security,Ron Miller,author1.jpg,2023-10-01,5 minutes,"One thing is clear this year: generative AI is having a tremendous impact on the software industry, and a week doesn’t pass without software companies announcing their plans to incorporate the seem...",Security,Writing
9,Yubico can now ship pre-registered security keys to its enterprise users,https://techcrunch.com/wp-content/uploads/2023/10/yubikey.jpg?w=430&h=230&crop=1,Enterprise,Frederic Lardinois,author1.jpg,2023-10-01,5 minutes,"Physical security keys remain one of the best ways to secure user accounts, but the fact that new users have to register them before they can use them often adds quite a bit of friction. Yubico, th...",Blogging,Writing
10,"Resy and Eater co-founder raises $24M for Blackbird, a restaurant loyalty platform",https://techcrunch.com/wp-content/uploads/2022/05/GettyImages-1238043769.jpg?w=430&h=230&crop=1,Startups,Kyle Wiggers,author1.jpg,2023-10-01,8 minutes,"Blackbird Labs, a hospitality tech company whose platform helps restaurants stay in touch with guests and incentivize them to dine out more frequently, today announced that it raised $24 million in...",Startups,Writing
11,TC Startup Battlefield master class with Flourish Ventures: Defining early-stage product-market fit,https://techcrunch.com/wp-content/uploads/2023/10/battlefield-biotics-ai.jpg?w=430&h=230&crop=1,Growth,Neesha A. Tambe,author1.jpg,2023-10-01,5 minutes,"Lorem ipsum dolor sit amet, consectetur adipiscing elit...",Growth,Writing
12,"Yahoo spins out Vespa, its search tech, into an independent company",https://techcrunch.com/wp-content/uploads/2023/02/GettyImages-1242149379.jpg?w=430&h=230&crop=1,AI,Kyle Wiggers,author1.jpg,2023-10-01,5 minutes,"Yahoo, otherwise known as the company that pays my salary (full disclosure: Yahoo owns TC), today announced that it’s spinning off Vespa, the big data serving engine, into an independent vent...",AI,Writing
